DEBUG 2014-09-12 15:15:44,349 StrategyBuildFixture: Equipo: 2 VS Equipo: 3
DEBUG 2014-09-12 15:15:44,350 StrategyBuildFixture: Jornada: 3
DEBUG 2014-09-12 15:15:44,350 StrategyBuildFixture: Equipo: 0 VS Equipo: 1
DEBUG 2014-09-12 15:20:19,747 StrategyBuildFixture: Iniciando Creacion de FIXTURE
DEBUG 2014-09-12 15:20:19,757 StrategyBuildFixture: Construyendo las jornadas necesarias para que se enfrenten los: 4
DEBUG 2014-09-12 15:20:20,880 StrategyBuildFixture: Se le asigno a cada equipo un identificador parcial para generar los encuentros
DEBUG 2014-09-12 15:20:20,904 StrategyBuildFixture: {0=com.futbol.manager.model.equipo.Equipo@2d8e8541[nombre=Sacachispa,administrador=<null>,jugadores=<null>], 1=com.futbol.manager.model.equipo.Equipo@67ce85c4[nombre=Turin,administrador=<null>,jugadores=<null>], 2=com.futbol.manager.model.equipo.Equipo@27b03c1a[nombre=Manchester,administrador=<null>,jugadores=<null>], 3=com.futbol.manager.model.equipo.Equipo@2339e351[nombre=Boca burros,administrador=<null>,jugadores=<null>]}
DEBUG 2014-09-12 15:20:22,110 StrategyBuildFixture: Cantidad de encuentros calculados:6
DEBUG 2014-09-12 15:20:22,110 StrategyBuildFixture: Cantidad de jornadas necesarias para el torneo:3
DEBUG 2014-09-12 15:20:22,111 StrategyBuildFixture: Cantidad de fechas que deberan jugarse por jornada:2
DEBUG 2014-09-12 15:20:23,324 StrategyBuildFixture: Jornada: 1
DEBUG 2014-09-12 15:20:23,325 StrategyBuildFixture: Equipo: 1 VS Equipo: 3
DEBUG 2014-09-12 15:20:23,327 StrategyBuildFixture: Jornada: 1
DEBUG 2014-09-12 15:20:23,328 StrategyBuildFixture: Equipo: 0 VS Equipo: 2
DEBUG 2014-09-12 15:20:23,328 StrategyBuildFixture: Jornada: 2
DEBUG 2014-09-12 15:20:23,329 StrategyBuildFixture: Equipo: 1 VS Equipo: 3
DEBUG 2014-09-12 15:20:23,329 StrategyBuildFixture: Jornada: 2
DEBUG 2014-09-12 15:20:23,330 StrategyBuildFixture: Equipo: 0 VS Equipo: 2
DEBUG 2014-09-12 15:20:23,331 StrategyBuildFixture: Jornada: 3
DEBUG 2014-09-12 15:20:23,332 StrategyBuildFixture: Equipo: 1 VS Equipo: 3
DEBUG 2014-09-12 15:20:23,332 StrategyBuildFixture: Jornada: 3
DEBUG 2014-09-12 15:20:23,333 StrategyBuildFixture: Equipo: 0 VS Equipo: 2
DEBUG 2014-09-12 15:26:05,624 StrategyBuildFixture: Iniciando Creacion de FIXTURE
DEBUG 2014-09-12 15:26:05,634 StrategyBuildFixture: Construyendo las jornadas necesarias para que se enfrenten los: 4
DEBUG 2014-09-12 15:26:07,278 StrategyBuildFixture: Se le asigno a cada equipo un identificador parcial para generar los encuentros
DEBUG 2014-09-12 15:26:07,312 StrategyBuildFixture: {0=com.futbol.manager.model.equipo.Equipo@2d7aece8[nombre=Sacachispa,administrador=<null>,jugadores=<null>], 1=com.futbol.manager.model.equipo.Equipo@61578aab[nombre=Turin,administrador=<null>,jugadores=<null>], 2=com.futbol.manager.model.equipo.Equipo@3a51127a[nombre=Manchester,administrador=<null>,jugadores=<null>], 3=com.futbol.manager.model.equipo.Equipo@2094257f[nombre=Boca burros,administrador=<null>,jugadores=<null>]}
DEBUG 2014-09-12 15:26:08,080 StrategyBuildFixture: Cantidad de encuentros calculados:6
DEBUG 2014-09-12 15:26:08,093 StrategyBuildFixture: Cantidad de jornadas necesarias para el torneo:3
DEBUG 2014-09-12 15:26:08,110 StrategyBuildFixture: Cantidad de fechas que deberan jugarse por jornada:2
DEBUG 2014-09-12 15:26:09,538 StrategyBuildFixture: Jornada: 1
DEBUG 2014-09-12 15:26:09,539 StrategyBuildFixture: Equipo: 1 VS Equipo: 3
DEBUG 2014-09-12 15:26:09,540 StrategyBuildFixture: Jornada: 1
DEBUG 2014-09-12 15:26:09,541 StrategyBuildFixture: Equipo: 0 VS Equipo: 2
DEBUG 2014-09-12 15:26:09,541 StrategyBuildFixture: Jornada: 2
DEBUG 2014-09-12 15:26:09,542 StrategyBuildFixture: Equipo: 1 VS Equipo: 3
DEBUG 2014-09-12 15:26:09,543 StrategyBuildFixture: Jornada: 2
DEBUG 2014-09-12 15:26:09,543 StrategyBuildFixture: Equipo: 0 VS Equipo: 2
DEBUG 2014-09-12 15:26:09,545 StrategyBuildFixture: Jornada: 3
DEBUG 2014-09-12 15:26:09,545 StrategyBuildFixture: Equipo: 1 VS Equipo: 3
DEBUG 2014-09-12 15:26:09,546 StrategyBuildFixture: Jornada: 3
DEBUG 2014-09-12 15:26:09,547 StrategyBuildFixture: Equipo: 0 VS Equipo: 2
